word,en_translation,part_of_speech,difficulty,gender,example_sentence,en_example_sentence
familia,family,noun,A1,feminine,Mi familia es grande.,My family is big.
madre,mother,noun,A1,feminine,Mi madre cocina muy bien.,My mother cooks very well.
padre,father,noun,A1,masculine,Mi padre trabaja mucho.,My father works a lot.
tiempo,time / weather,noun,A1,masculine,No tengo tiempo.,I don't have time.
día,day,noun,A1,masculine,Hoy es un buen día.,Today is a good day.
noche,night,noun,A1,feminine,La noche es tranquila.,The night is peaceful.
cosa,thing,noun,A1,feminine,¿Qué es esta cosa?,What is this thing?
nombre,name,noun,A1,masculine,¿Cuál es tu nombre?,What is your name?
hora,hour / time,noun,A1,feminine,¿Qué hora es?,What time is it?
número,number,noun,A1,masculine,¿Cuál es tu número de teléfono?,What is your phone number?
café,coffee,noun,A1,masculine,Necesito un café.,I need a coffee.
baño,bathroom,noun,A1,masculine,¿Dónde está el baño?,Where is the bathroom?
uno,one,numeral,A1,masculine,Solo quiero uno.,I only want one.
dos,two,numeral,A1,,Tengo dos perros.,I have two dogs.
tres,three,numeral,A1,,Son las tres de la tarde.,It's three in the afternoon.
cuatro,four,numeral,A1,,Hay cuatro sillas.,There are four chairs.
cinco,five,numeral,A1,,Cinco minutos más.,Five more minutes.
seis,six,numeral,A1,,Somos seis personas.,We are six people.
siete,seven,numeral,A1,,Son las siete de la mañana.,It's seven in the morning.
ocho,eight,numeral,A1,,Trabajo ocho horas al día.,I work eight hours a day.
nueve,nine,numeral,A1,,Faltan nueve días.,Nine days left.
diez,ten,numeral,A1,,Cuesta diez dólares.,It costs ten dollars.
veinte,twenty,numeral,A1,,Tengo veinte años.,I am twenty years old.
lunes,Monday,noun,A1,masculine,El lunes tengo clase.,On Monday I have class.
martes,Tuesday,noun,A1,masculine,Nos vemos el martes.,See you on Tuesday.
miércoles,Wednesday,noun,A1,masculine,El miércoles es mi día libre.,Wednesday is my day off.
jueves,Thursday,noun,A1,masculine,El jueves tengo una reunión.,On Thursday I have a meeting.
viernes,Friday,noun,A1,masculine,¡Por fin es viernes!,It's finally Friday!
sábado,Saturday,noun,A1,masculine,El sábado vamos al cine.,On Saturday we go to the movies.
domingo,Sunday,noun,A1,masculine,El domingo descanso.,On Sunday I rest.
rojo,red,adjective,A1,masculine,El carro es rojo.,The car is red.
azul,blue,adjective,A1,,Mi camisa es azul.,My shirt is blue.
verde,green,adjective,A1,,Los árboles son verdes.,The trees are green.
negro,black,adjective,A1,masculine,Llevo zapatos negros.,I'm wearing black shoes.
blanco,white,adjective,A1,masculine,La pared es blanca.,The wall is white.
amarillo,yellow,adjective,A1,masculine,El sol es amarillo.,The sun is yellow.
y,and,conjunction,A1,,Tú y yo somos amigos.,You and I are friends.
pero,but,conjunction,A1,,"Quiero ir, pero no puedo.","I want to go, but I can't."
o,or,conjunction,A1,,¿Café o té?,Coffee or tea?
porque,because,conjunction,A1,,No voy porque estoy enfermo.,I'm not going because I'm sick.
con,with,preposition,A1,,Voy con mi familia.,I go with my family.
en,in / on,preposition,A1,,Estoy en la oficina.,I'm in the office.
de,of / from,preposition,A1,,Soy de México.,I'm from Mexico.
a,to,preposition,A1,,Voy a la escuela.,I go to school.
para,for / in order to,preposition,A1,,Esto es para ti.,This is for you.
por,for / by / through,preposition,A1,,Gracias por todo.,Thanks for everything.
sin,without,preposition,A1,,Café sin azúcar.,Coffee without sugar.
qué,what,pronoun,A1,,¿Qué quieres?,What do you want?
quién,who,pronoun,A1,,¿Quién es ella?,Who is she?
por qué,why,phrase,A1,,¿Por qué no vienes?,Why aren't you coming?
todo,all / everything,pronoun,A1,masculine,Lo quiero todo.,I want everything.
nada,nothing,pronoun,A1,,No quiero nada.,I don't want anything.
algo,something,pronoun,A1,,¿Quieres algo de comer?,Do you want something to eat?
bonito,pretty / beautiful,adjective,A2,masculine,El vestido es muy bonito.,The dress is very pretty.
feo,ugly,adjective,A2,masculine,El edificio es bastante feo.,The building is quite ugly.
feliz,happy,adjective,A2,,Soy muy feliz contigo.,I am very happy with you.
triste,sad,adjective,A2,,Estoy triste hoy.,I am sad today.
enojado,angry,adjective,A2,masculine,Mi padre está enojado conmigo.,My father is angry with me.
cansado,tired,adjective,A2,masculine,Estoy muy cansado después del trabajo.,I'm very tired after work.
enfermo,sick,adjective,A2,masculine,El niño está enfermo.,The child is sick.
preocupado,worried,adjective,A2,masculine,Estoy preocupado por el examen.,I'm worried about the exam.
nervioso,nervous,adjective,A2,masculine,Estoy nervioso por la entrevista.,I'm nervous about the interview.
sorprendido,surprised,adjective,A2,masculine,Estoy sorprendido por la noticia.,I'm surprised by the news.
aburrido,bored / boring,adjective,A2,masculine,La película fue aburrida.,The movie was boring.
caliente,hot,adjective,A2,,El café está muy caliente.,The coffee is very hot.
frío,cold,adjective,A2,masculine,Hace mucho frío hoy.,It's very cold today.
difícil,difficult,adjective,A2,,El examen fue muy difícil.,The exam was very difficult.
fácil,easy,adjective,A2,,Es fácil de entender.,It's easy to understand.
rápido,fast,adjective,A2,masculine,El tren es muy rápido.,The train is very fast.
lento,slow,adjective,A2,masculine,"Habla más lento, por favor.","Speak more slowly, please."
joven,young,adjective,A2,,Es una mujer joven.,She is a young woman.
viejo,old,adjective,A2,masculine,El edificio es muy viejo.,The building is very old.
largo,long,adjective,A2,masculine,El camino es largo.,The road is long.
corto,short (length),adjective,A2,masculine,El video es muy corto.,The video is very short.
alto,tall / high,adjective,A2,masculine,El edificio es muy alto.,The building is very tall.
bajo,short / low,adjective,A2,masculine,El techo es bajo.,The ceiling is low.
rico,rich / delicious,adjective,A2,masculine,La comida está rica.,The food is delicious.
pobre,poor,adjective,A2,,Es un barrio pobre.,It's a poor neighborhood.
barato,cheap,adjective,A2,masculine,Este restaurante es barato.,This restaurant is cheap.
caro,expensive,adjective,A2,masculine,El hotel es muy caro.,The hotel is very expensive.
limpio,clean,adjective,A2,masculine,La cocina está limpia.,The kitchen is clean.
sucio,dirty,adjective,A2,masculine,El piso está sucio.,The floor is dirty.
abierto,open,adjective,A2,masculine,La tienda está abierta.,The store is open.
cerrado,closed,adjective,A2,masculine,El banco está cerrado hoy.,The bank is closed today.
lleno,full,adjective,A2,masculine,El vaso está lleno.,The glass is full.
vacío,empty,adjective,A2,masculine,La calle está vacía.,The street is empty.
listo,ready / clever,adjective,A2,masculine,¿Estás listo? Vamos.,Are you ready? Let's go.
ocupado,busy / occupied,adjective,A2,masculine,"Estoy ocupado ahora, te llamo después.","I'm busy now, I'll call you later."
importante,important,adjective,A2,,Es una decisión muy importante.,It's a very important decision.
hermano,brother,noun,A2,masculine,Mi hermano tiene veinte años.,My brother is twenty years old.
hermana,sister,noun,A2,feminine,Mi hermana vive en Barcelona.,My sister lives in Barcelona.
hijo,son,noun,A2,masculine,Mi hijo tiene cinco años.,My son is five years old.
hija,daughter,noun,A2,feminine,Mi hija estudia medicina.,My daughter studies medicine.
cabeza,head,noun,A2,feminine,Me duele la cabeza.,My head hurts.
mano,hand,noun,A2,feminine,Dame la mano.,Give me your hand.
ojo,eye,noun,A2,masculine,Tiene los ojos verdes.,She has green eyes.
boca,mouth,noun,A2,feminine,Cierra la boca.,Close your mouth.
corazón,heart,noun,A2,masculine,Mi corazón late rápido.,My heart beats fast.
cuerpo,body,noun,A2,masculine,El cuerpo necesita descanso.,The body needs rest.
brazo,arm,noun,A2,masculine,Me duele el brazo.,My arm hurts.
pierna,leg,noun,A2,feminine,Tengo dolor en la pierna.,I have pain in my leg.
pie,foot,noun,A2,masculine,Me duele el pie.,My foot hurts.
espalda,back,noun,A2,feminine,Me duele la espalda.,My back hurts.
pelo,hair,noun,A2,masculine,Tiene el pelo largo.,She has long hair.
pan,bread,noun,A2,masculine,Quiero pan con mantequilla.,I want bread with butter.
carne,meat,noun,A2,feminine,No como carne.,I don't eat meat.
pollo,chicken,noun,A2,masculine,El pollo está delicioso.,The chicken is delicious.
pescado,fish (food),noun,A2,masculine,Me gusta el pescado fresco.,I like fresh fish.
arroz,rice,noun,A2,masculine,El arroz con frijoles es mi favorito.,Rice with beans is my favorite.
huevo,egg,noun,A2,masculine,Quiero huevos para el desayuno.,I want eggs for breakfast.
leche,milk,noun,A2,feminine,Tomo leche todas las mañanas.,I drink milk every morning.
queso,cheese,noun,A2,masculine,Me encanta el queso.,I love cheese.
fruta,fruit,noun,A2,feminine,La fruta fresca es saludable.,Fresh fruit is healthy.
verdura,vegetable,noun,A2,feminine,Debes comer más verduras.,You should eat more vegetables.
cerveza,beer,noun,A2,feminine,¿Quieres una cerveza?,Do you want a beer?
vino,wine,noun,A2,masculine,"Un vaso de vino tinto, por favor.","A glass of red wine, please."
azúcar,sugar,noun,A2,masculine,"Sin azúcar, por favor.","Without sugar, please."
sal,salt,noun,A2,feminine,Pásame la sal.,Pass me the salt.
desayuno,breakfast,noun,A2,masculine,El desayuno es a las ocho.,Breakfast is at eight.
almuerzo,lunch,noun,A2,masculine,¿Dónde vamos a almorzar?,Where are we going for lunch?
cena,dinner,noun,A2,feminine,La cena está lista.,Dinner is ready.
minuto,minute,noun,A2,masculine,Espera un minuto.,Wait a minute.
semana,week,noun,A2,feminine,La semana pasada fui al cine.,Last week I went to the movies.
mes,month,noun,A2,masculine,El próximo mes viajo a España.,Next month I travel to Spain.
año,year,noun,A2,masculine,El año pasado viajé a España.,Last year I traveled to Spain.
enero,January,noun,A2,masculine,Enero es el primer mes del año.,January is the first month of the year.
febrero,February,noun,A2,masculine,Febrero es el mes más corto.,February is the shortest month.
marzo,March,noun,A2,masculine,"En marzo, empieza la primavera.","In March, spring begins."
abril,April,noun,A2,masculine,En abril llueve mucho.,In April it rains a lot.
mayo,May,noun,A2,masculine,Mi cumpleaños es en mayo.,My birthday is in May.
junio,June,noun,A2,masculine,En junio empieza el verano.,In June summer begins.
julio,July,noun,A2,masculine,Julio es el mes más caliente.,July is the hottest month.
agosto,August,noun,A2,masculine,En agosto vamos a la playa.,In August we go to the beach.
septiembre,September,noun,A2,masculine,En septiembre empieza la escuela.,In September school starts.
octubre,October,noun,A2,masculine,Octubre es mi mes favorito.,October is my favorite month.
noviembre,November,noun,A2,masculine,En noviembre hace frío.,In November it gets cold.
diciembre,December,noun,A2,masculine,En diciembre celebramos Navidad.,In December we celebrate Christmas.
trabajo,work / job,noun,A2,masculine,Voy al trabajo en metro.,I go to work by subway.
dinero,money,noun,A2,masculine,No tengo suficiente dinero.,I don't have enough money.
precio,price,noun,A2,masculine,¿Cuál es el precio?,What is the price?
calle,street,noun,A2,feminine,La calle está llena de gente.,The street is full of people.
ciudad,city,noun,A2,feminine,La ciudad es muy grande.,The city is very big.
país,country,noun,A2,masculine,México es un país hermoso.,Mexico is a beautiful country.
tienda,store / shop,noun,A2,feminine,La tienda cierra a las nueve.,The store closes at nine.
restaurante,restaurant,noun,A2,masculine,Vamos a un restaurante italiano.,Let's go to an Italian restaurant.
escuela,school,noun,A2,feminine,Los niños van a la escuela.,The children go to school.
banco,bank,noun,A2,masculine,El banco está cerrado hoy.,The bank is closed today.
museo,museum,noun,A2,masculine,El museo abre a las diez.,The museum opens at ten.
parque,park,noun,A2,masculine,Vamos al parque a caminar.,Let's go to the park for a walk.
carro,car,noun,A2,masculine,Mi carro es azul.,My car is blue.
teléfono,phone,noun,A2,masculine,¿Dónde está mi teléfono?,Where is my phone?
tarjeta,card,noun,A2,feminine,¿Puedo pagar con tarjeta?,Can I pay by card?
puerta,door,noun,A2,feminine,"Cierra la puerta, por favor.","Close the door, please."
ventana,window,noun,A2,feminine,Abre la ventana.,Open the window.
mesa,table,noun,A2,feminine,La comida está en la mesa.,The food is on the table.
silla,chair,noun,A2,feminine,Siéntate en la silla.,Sit in the chair.
cama,bed,noun,A2,feminine,La cama es muy cómoda.,The bed is very comfortable.
libro,book,noun,A2,masculine,Estoy leyendo un libro.,I'm reading a book.
ropa,clothes,noun,A2,feminine,Necesito comprar ropa nueva.,I need to buy new clothes.
zapato,shoe,noun,A2,masculine,Me gustan esos zapatos.,I like those shoes.
vida,life,noun,A2,feminine,La vida es corta.,Life is short.
amor,love,noun,A2,masculine,El amor es complicado.,Love is complicated.
problema,problem,noun,A2,masculine,No hay problema.,No problem.
fiesta,party,noun,A2,feminine,La fiesta fue increíble.,The party was incredible.
lugar,place,noun,A2,masculine,Este es un buen lugar para comer.,This is a good place to eat.
mundo,world,noun,A2,masculine,Quiero ver el mundo.,I want to see the world.
pregunta,question,noun,A2,feminine,Tengo una pregunta.,I have a question.
respuesta,answer,noun,A2,feminine,No sé la respuesta.,I don't know the answer.
historia,history / story,noun,A2,feminine,Me gusta la historia de España.,I like the history of Spain.
idea,idea,noun,A2,feminine,Tengo una buena idea.,I have a good idea.
palabra,word,noun,A2,feminine,¿Cuál es la palabra en español?,What is the word in Spanish?
foto,photo,noun,A2,feminine,¿Me tomas una foto?,Can you take a photo of me?
perro,dog,noun,A2,masculine,Tengo un perro grande.,I have a big dog.
gato,cat,noun,A2,masculine,El gato duerme todo el día.,The cat sleeps all day.
flor,flower,noun,A2,feminine,Las flores son hermosas.,The flowers are beautiful.
sol,sun,noun,A2,masculine,Hace mucho sol hoy.,It's very sunny today.
lluvia,rain,noun,A2,feminine,Me gusta la lluvia.,I like the rain.
mar,sea,noun,A2,masculine,El mar está tranquilo.,The sea is calm.
montaña,mountain,noun,A2,feminine,La montaña es muy alta.,The mountain is very tall.
árbol,tree,noun,A2,masculine,Hay un árbol grande en el jardín.,There is a big tree in the garden.
música,music,noun,A2,feminine,La música latina me hace bailar.,Latin music makes me dance.
canción,song,noun,A2,feminine,Esta canción es mi favorita.,This song is my favorite.
cien,one hundred,numeral,A2,,Hay cien personas aquí.,There are one hundred people here.
mil,one thousand,numeral,A2,,Cuesta mil pesos.,It costs one thousand pesos.
pagar,to pay,verb,A2,,¿Puedo pagar con tarjeta?,Can I pay by card?
vender,to sell,verb,A2,,Quiere vender su carro.,He wants to sell his car.
trabajar,to work,verb,A2,,Trabajo de lunes a viernes.,I work Monday to Friday.
estudiar,to study,verb,A2,,Estudio español todos los días.,I study Spanish every day.
pensar,to think,verb,A2,,¿Qué piensas de esto?,What do you think about this?
creer,to believe,verb,A2,,No creo que sea verdad.,I don't believe it's true.
sentir,to feel,verb,A2,,¿Cómo te sientes?,How do you feel?
conocer,to know (people/places),verb,A2,,¿Conoces a mi hermana?,Do you know my sister?
encontrar,to find,verb,A2,,No puedo encontrar mis llaves.,I can't find my keys.
dormir,to sleep,verb,A2,,Necesito dormir más.,I need to sleep more.
salir,to leave / to go out,verb,A2,,Salimos a las ocho.,We leave at eight.
llegar,to arrive,verb,A2,,¿A qué hora llegas?,What time do you arrive?
escribir,to write,verb,A2,,Voy a escribir un correo.,I'm going to write an email.
leer,to read,verb,A2,,Me gusta leer por la noche.,I like to read at night.
jugar,to play,verb,A2,,Los niños juegan en el parque.,The children play in the park.
caminar,to walk,verb,A2,,Me gusta caminar por la playa.,I like to walk on the beach.
correr,to run,verb,A2,,Corro todas las mañanas.,I run every morning.
abrir,to open,verb,A2,,Abre la puerta.,Open the door.
cerrar,to close,verb,A2,,Cierra los ojos.,Close your eyes.
esperar,to wait / to hope,verb,A2,,Espérame un momento.,Wait for me a moment.
entender,to understand,verb,A2,,No entiendo la pregunta.,I don't understand the question.
aprender,to learn,verb,A2,,Quiero aprender a cocinar.,I want to learn to cook.
enseñar,to teach,verb,A2,,Ella enseña matemáticas.,She teaches math.
cocinar,to cook,verb,A2,,Mi madre cocina muy bien.,My mother cooks very well.
ayudar,to help,verb,A2,,¿Me puedes ayudar?,Can you help me?
pedir,to ask for / to order,verb,A2,,Voy a pedir la cuenta.,I'm going to ask for the check.
empezar,to begin / to start,verb,A2,,La clase empieza a las diez.,The class starts at ten.
terminar,to finish,verb,A2,,Ya terminé mi tarea.,I already finished my homework.
usar,to use,verb,A2,,¿Puedo usar tu teléfono?,Can I use your phone?
poner,to put / to place,verb,A2,,Pon el libro en la mesa.,Put the book on the table.
tomar,to take / to drink,verb,A2,,Voy a tomar un café.,I'm going to have a coffee.
dejar,to leave / to let,verb,A2,,Déjame pensar.,Let me think.
pasar,to pass / to happen,verb,A2,,¿Qué pasó?,What happened?
cambiar,to change,verb,A2,,Quiero cambiar mi reserva.,I want to change my reservation.
quedar,to remain / to meet up,verb,A2,,¿Quedamos a las tres?,Shall we meet at three?
mirar,to look at / to watch,verb,A2,,Mira esa vista.,Look at that view.
escuchar,to listen,verb,A2,,Me gusta escuchar música.,I like to listen to music.
bailar,to dance,verb,A2,,Vamos a bailar toda la noche.,Let's dance all night.
cantar,to sing,verb,A2,,Me encanta cantar en la ducha.,I love to sing in the shower.
deber,must / should,verb,A2,,Debes estudiar más.,You should study more.
traer,to bring,verb,A2,,Tráeme un vaso de agua.,Bring me a glass of water.
volver,to return / to come back,verb,A2,,Vuelvo mañana.,I'll come back tomorrow.
ayer,yesterday,adverb,A2,,Ayer fui al cine.,Yesterday I went to the movies.
todavía,still / yet,adverb,A2,,Todavía no he comido.,I haven't eaten yet.
ya,already,adverb,A2,,Ya llegué.,I already arrived.
después,after / later,adverb,A2,,Te llamo después.,I'll call you later.
antes,before,adverb,A2,,Llega antes de las cinco.,Arrive before five.
juntos,together,adverb,A2,,Vamos juntos a la fiesta.,Let's go to the party together.
solo,alone / only,adverb,A2,,Vivo solo.,I live alone.
temprano,early,adverb,A2,,Llegué temprano.,I arrived early.
tarde,late / afternoon,adverb,A2,,Llegué tarde al trabajo.,I arrived late to work.
cerca,near,adverb,A2,,El banco está cerca.,The bank is nearby.
lejos,far,adverb,A2,,El aeropuerto está lejos.,The airport is far away.
arriba,up / above,adverb,A2,,Mi habitación está arriba.,My room is upstairs.
abajo,down / below,adverb,A2,,El garaje está abajo.,The garage is downstairs.
afuera,outside,adverb,A2,,Hace calor afuera.,It's hot outside.
adentro,inside,adverb,A2,,Vamos adentro.,Let's go inside.
casi,almost,adverb,A2,,Ya casi llegamos.,We're almost there.
tal vez,maybe / perhaps,phrase,A2,,Tal vez vaya mañana.,Maybe I'll go tomorrow.
entonces,so / then,adverb,A2,,"No había taxi, entonces caminamos.","There was no taxi, so we walked."
entre,between / among,preposition,A2,,El banco está entre la tienda y el café.,The bank is between the store and the café.
sobre,on / about / over,preposition,A2,,El libro está sobre la mesa.,The book is on the table.
hasta,until / up to,preposition,A2,,Trabajo hasta las seis.,I work until six.
desde,from / since,preposition,A2,,Vivo aquí desde 2020.,I've lived here since 2020.
hacia,toward,preposition,A2,,Caminamos hacia el norte.,We walked toward the north.
durante,during,preposition,A2,,No hablé durante la reunión.,I didn't speak during the meeting.
si,if,conjunction,A2,,"Si llueve, me quedo en casa.","If it rains, I stay home."
cuando,when,conjunction,A2,,"Cuando llego a casa, descanso.","When I get home, I rest."
mientras,while,conjunction,A2,,Escucho música mientras trabajo.,I listen to music while I work.
que,that / which,conjunction,A2,,Creo que tienes razón.,I think that you're right.
aunque,although / even though,conjunction,A2,,Voy a salir aunque llueva.,I'm going out even though it rains.
ni,neither / nor,conjunction,A2,,No tengo ni tiempo ni dinero.,I have neither time nor money.
verdad,truth,noun,A2,feminine,Dime la verdad.,Tell me the truth.
hotel,hotel,noun,A2,masculine,Reservé un hotel cerca de la playa.,I booked a hotel near the beach.
playa,beach,noun,A2,feminine,La playa es hermosa al atardecer.,The beach is beautiful at sunset.
cuenta,bill / check / account,noun,A2,feminine,"La cuenta, por favor.","The check, please."
taxi,taxi,noun,A2,masculine,Tomamos un taxi al aeropuerto.,We took a taxi to the airport.
letra,lyrics / letter,noun,B1,feminine,No entiendo la letra de esta canción.,I don't understand the lyrics of this song.
ritmo,rhythm,noun,B1,masculine,El ritmo de reggaetón es contagioso.,The reggaeton rhythm is catchy.
voz,voice,noun,B1,feminine,Shakira tiene una voz increíble.,Shakira has an incredible voice.
escenario,stage,noun,B1,masculine,El artista subió al escenario.,The artist went up on stage.
concierto,concert,noun,B1,masculine,Fui al concierto de Bad Bunny.,I went to the Bad Bunny concert.
disco,album / record,noun,B1,masculine,Su nuevo disco salió ayer.,His new album came out yesterday.
estrella,star,noun,B1,feminine,Es una estrella de la música.,She is a music star.
reggaetón,reggaeton,noun,B1,masculine,El reggaetón es popular en todo el mundo.,Reggaeton is popular worldwide.
tema,track / song (colloquial),noun,B1,masculine,Ese tema tiene un ritmo increíble.,That track has an incredible rhythm.
éxito,hit / success,noun,B1,masculine,Esa canción fue un éxito mundial.,That song was a worldwide hit.
gira,tour,noun,B1,feminine,La gira empieza en septiembre.,The tour starts in September.
verso,verse,noun,B1,masculine,El verso de Bad Bunny es muy pegajoso.,Bad Bunny's verse is very catchy.
coro,chorus,noun,B1,masculine,El coro de esta canción se queda en la cabeza.,The chorus of this song gets stuck in your head.
pista,track / beat,noun,B1,feminine,La pista tiene un bajo muy fuerte.,The beat has a very strong bass.
sueño,dream / sleep,noun,B1,masculine,Tengo un sueño muy grande.,I have a very big dream.
fuego,fire,noun,B1,masculine,El fuego ilumina la noche.,The fire lights up the night.
locura,madness / craziness,noun,B1,feminine,Esto es una locura total.,This is total madness.
soledad,loneliness / solitude,noun,B1,feminine,La soledad a veces duele.,Loneliness sometimes hurts.
mentira,lie,noun,B1,feminine,Todo lo que dijo fue una mentira.,Everything he said was a lie.
dolor,pain,noun,B1,masculine,El dolor en mi pecho no se va.,The pain in my chest won't go away.
recuerdo,memory / souvenir,noun,B1,masculine,Tengo buenos recuerdos de ese viaje.,I have good memories of that trip.
beso,kiss,noun,B1,masculine,Me dio un beso en la mejilla.,She gave me a kiss on the cheek.
abrazo,hug,noun,B1,masculine,Necesito un abrazo.,I need a hug.
alma,soul,noun,B1,feminine,Lo siento en el alma.,I feel it in my soul.
